id,createdat,logtext
1,2024-04-11 11:36:09,This is a test log
2,2024-04-01 16:37:57,"{
  ""Event"": {
    ""#attributes"": {
      ""xmlns"": ""http://schemas.microsoft.com/win/2004/08/events/event""
    },
    ""EventData"": {
      ""LicenseId"": ""a900c622-99e6-0d09-3f2b-fc30e2f4563b"",
      ""PackageName"": ""Microsoft.YourPhone_8wekyb3d8bbwe""
    },
    ""System"": {
      ""Channel"": ""Microsoft-Client-Licensing-Platform/Admin"",
      ""Computer"": ""DESKTOP-Q3IFKSG"",
      ""Correlation"": null,
      ""EventID"": 159,
      ""EventRecordID"": 26569,
      ""Execution"": {
        ""#attributes"": {
          ""ProcessID"": 26548,
          ""ThreadID"": 4428
        }
      },
      ""Keywords"": ""0x2000000000000001"",
      ""Level"": 4,
      ""Opcode"": 0,
      ""Provider"": {
        ""#attributes"": {
          ""Guid"": ""B6CC0D55-9ECC-49A8-B929-2B9022426F2A"",
          ""Name"": ""Microsoft-Client-Licensing-Platform""
        }
      },
      ""Security"": {
        ""#attributes"": {
          ""UserID"": ""S-1-5-18""
        }
      },
      ""Task"": 0,
      ""TimeCreated"": {
        ""#attributes"": {
          ""SystemTime"": ""2024-04-01T16:37:57.421916Z""
        }
      },
      ""Version"": 0
    }
  }
}"
3,2024-04-01 16:37:50,"{
  ""Event"": {
    ""#attributes"": {
      ""xmlns"": ""http://schemas.microsoft.com/win/2004/08/events/event""
    },
    ""EventData"": {
      ""AdditionalInformation"": ""Exception of type 'class HttpException' at XMLHTTPWebRequest.cpp, line: 184, method: XMLHTTPWebRequest::ReceiveResponse.\r\n\r\nLog: 0xcaa9004b Exception during nonce request.\r\nLogged at ProofOfPossessionTokenRequestBase.cpp, line: 116, method: ProofOfPossessionTokenRequestBase::RequestNonce.\r\n\r\nRequest: authority: https://login.microsoftonline.com/common, client: 26a7ee05-5602-4d76-a7ba-eae8b7b67941, redirect URI: ms-appx-web://Microsoft.AAD.BrokerPlugin/S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651, resource: https://www.bing.com, correlation ID (request): 11beb60a-4e33-4c43-8dab-c2919dc26e34"",
      ""Error"": 3399942148,
      ""ErrorMessage"": ""The server or proxy was not found.""
    },
    ""System"": {
      ""Channel"": ""Microsoft-Windows-AAD/Operational"",
      ""Computer"": ""DESKTOP-Q3IFKSG"",
      ""Correlation"": {
        ""#attributes"": {
          ""ActivityID"": ""90361E29-8124-0007-6AA9-42902481DA01""
        }
      },
      ""EventID"": 1098,
      ""EventRecordID"": 9495,
      ""Execution"": {
        ""#attributes"": {
          ""ProcessID"": 19688,
          ""ThreadID"": 23496
        }
      },
      ""Keywords"": ""0x4000000000000012"",
      ""Level"": 2,
      ""Opcode"": 0,
      ""Provider"": {
        ""#attributes"": {
          ""Guid"": ""4DE9BC9C-B27A-43C9-8994-0915F1A5E24F"",
          ""Name"": ""Microsoft-Windows-AAD""
        }
      },
      ""Security"": {
        ""#attributes"": {
          ""UserID"": ""S-1-5-21-983048616-1879494994-765880907-1001""
        }
      },
      ""Task"": 103,
      ""TimeCreated"": {
        ""#attributes"": {
          ""SystemTime"": ""2024-04-01T16:37:50.028789Z""
        }
      },
      ""Version"": 0
    }
  }
}"
4,2024-04-01 16:37:57,"{
  ""Event"": {
    ""#attributes"": {
      ""xmlns"": ""http://schemas.microsoft.com/win/2004/08/events/event""
    },
    ""EventData"": {
      ""AssociateId"": ""a900c622-99e6-0d09-3f2b-fc30e2f4563b"",
      ""LicenseId"": ""a900c622-99e6-0d09-3f2b-fc30e2f4563b"",
      ""PackageName"": ""Microsoft.YourPhone_8wekyb3d8bbwe"",
      ""UserId"": ""NULL""
    },
    ""System"": {
      ""Channel"": ""Microsoft-Client-Licensing-Platform/Admin"",
      ""Computer"": ""DESKTOP-Q3IFKSG"",
      ""Correlation"": null,
      ""EventID"": 117,
      ""EventRecordID"": 26570,
      ""Execution"": {
        ""#attributes"": {
          ""ProcessID"": 26548,
          ""ThreadID"": 4428
        }
      },
      ""Keywords"": ""0x2000000000000001"",
      ""Level"": 4,
      ""Opcode"": 0,
      ""Provider"": {
        ""#attributes"": {
          ""Guid"": ""B6CC0D55-9ECC-49A8-B929-2B9022426F2A"",
          ""Name"": ""Microsoft-Client-Licensing-Platform""
        }
      },
      ""Security"": {
        ""#attributes"": {
          ""UserID"": ""S-1-5-18""
        }
      },
      ""Task"": 0,
      ""TimeCreated"": {
        ""#attributes"": {
          ""SystemTime"": ""2024-04-01T16:37:57.421918Z""
        }
      },
      ""Version"": 0
    }
  }
}"
5,2024-04-01 16:37:50,"{
  ""Event"": {
    ""#attributes"": {
      ""xmlns"": ""http://schemas.microsoft.com/win/2004/08/events/event""
    },
    ""EventData"": {
      ""AdditionalInformation"": ""Exception of type 'class HttpException' at XMLHTTPWebRequest.cpp, line: 184, method: XMLHTTPWebRequest::ReceiveResponse.\r\n\r\nLog: 0xcaa9004b Exception during nonce request.\r\nLogged at ProofOfPossessionTokenRequestBase.cpp, line: 116, method: ProofOfPossessionTokenRequestBase::RequestNonce.\r\n\r\nRequest: authority: https://login.microsoftonline.com/common, client: 26a7ee05-5602-4d76-a7ba-eae8b7b67941, redirect URI: ms-appx-web://Microsoft.AAD.BrokerPlugin/S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651, resource: 9ea1ad79-fdb6-4f9a-8bc3-2b70f96e34c7, correlation ID (request): 498b86c7-6207-465a-8a6a-0fa5f2a506bf"",
      ""Error"": 3399942148,
      ""ErrorMessage"": ""The server or proxy was not found.""
    },
    ""System"": {
      ""Channel"": ""Microsoft-Windows-AAD/Operational"",
      ""Computer"": ""DESKTOP-Q3IFKSG"",
      ""Correlation"": {
        ""#attributes"": {
          ""ActivityID"": ""90361E29-8124-0011-F94E-64902481DA01""
        }
      },
      ""EventID"": 1098,
      ""EventRecordID"": 9496,
      ""Execution"": {
        ""#attributes"": {
          ""ProcessID"": 19688,
          ""ThreadID"": 23464
        }
      },
      ""Keywords"": ""0x4000000000000012"",
      ""Level"": 2,
      ""Opcode"": 0,
      ""Provider"": {
        ""#attributes"": {
          ""Guid"": ""4DE9BC9C-B27A-43C9-8994-0915F1A5E24F"",
          ""Name"": ""Microsoft-Windows-AAD""
        }
      },
      ""Security"": {
        ""#attributes"": {
          ""UserID"": ""S-1-5-21-983048616-1879494994-765880907-1001""
        }
      },
      ""Task"": 103,
      ""TimeCreated"": {
        ""#attributes"": {
          ""SystemTime"": ""2024-04-01T16:37:50.028800Z""
        }
      },
      ""Version"": 0
    }
  }
}"
